time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,train/clip_range,train/learning_rate,train/loss,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/explained_variance,train/value_loss,eval/mean_reward,eval/mean_ep_length
68608,12.0,11.842635330000002,67,158,432,0.2,0.0003,0.02925480529665947,660,-0.002254291120334528,0.0030262042,0.0234375,-0.4929169660434127,0.9957917928695679,0.0991094869794324,,
69632,12.0,11.81386694,68,161,430,0.2,0.0003,0.030645271763205528,670,-0.0023515837412560357,0.0029005709,0.0296875,-0.4914786770939827,0.9961197376251221,0.0928112453315407,,
70000,,,,,,0.2,0.0003,0.05343364551663399,680,-0.0016379318723920733,0.0021765768,0.01923828125,-0.5000834867358208,0.9954559206962585,0.10623534522019326,11.688838,12.0
70656,12.0,11.812932150000002,69,163,431,,,,,,,,,,,,
71680,12.0,11.950047620000003,70,167,429,0.2,0.0003,0.03832072764635086,690,-0.0026546353357844053,0.0035733455,0.036328125,-0.5039517514407634,0.9959744215011597,0.09606159219983965,,
72704,12.0,11.781608349999999,71,168,430,0.2,0.0003,0.03295517712831497,700,-0.002600484699360095,0.007822525,0.0267578125,-0.5226949717849493,0.9966054558753967,0.08071924862451851,,
73728,12.0,11.908393700000001,72,171,430,0.2,0.0003,0.048489540815353394,710,-0.0030827249807771294,0.0032020141,0.03193359375,-0.5248018816113472,0.9963641166687012,0.0865619115298614,,
74752,12.0,11.774954409999998,73,172,432,0.2,0.0003,0.05356407165527344,720,-0.0008313157464726828,0.0035519255,0.028125,-0.5186932187527418,0.9961532354354858,0.09231248795986176,,
75000,,,,,,0.2,0.0003,0.032740406692028046,730,-0.002738343879173044,0.003529861,0.06162109375,-0.5347613478079438,0.9947192668914795,0.123271055216901,11.52258655,12.0
75776,12.0,11.822514590000003,74,175,431,,,,,,,,,,,,
76800,12.0,11.821052589999999,75,179,428,0.2,0.0003,0.0355217382311821,740,-0.000803600242943503,0.0036379774,0.03486328125,-0.5684106919914484,0.9962939620018005,0.08910370080266147,,
77824,12.0,11.842163600000001,76,181,428,0.2,0.0003,0.03996112570166588,750,-0.0011598321114433929,0.0027722237,0.02509765625,-0.5667844008654356,0.9963245391845703,0.08962006317451596,,
78848,12.0,11.80128068,77,183,430,0.2,0.0003,0.0634542778134346,760,-0.0011232395307160914,0.004024558,0.0283203125,-0.5766592066735029,0.9954543709754944,0.10906538129784167,,
79872,12.0,11.867396529999999,78,185,430,0.2,0.0003,0.019074618816375732,770,-0.00371460557798855,0.0044165244,0.044921875,-0.6098522689193487,0.9965499639511108,0.08422540407627821,,
80000,,,,,,0.2,0.0003,0.03235025703907013,780,-0.0013727649857173674,0.001745696,0.022265625,-0.6060036703944206,0.996773362159729,0.07891101497225464,11.75710825,12.0
80896,12.0,11.7875794,79,188,428,,,,,,,,,,,,
81920,12.0,11.861991710000002,80,191,427,0.2,0.0003,0.05278563126921654,790,-0.0065162688435520975,0.007197516,0.07392578125,-0.5865928523242474,0.9960582852363586,0.0960028158966452,,
82944,12.0,11.86102404,81,193,428,0.2,0.0003,0.04700397700071335,800,-0.004780458819004707,0.0071191355,0.04306640625,-0.5910060983151197,0.995797336101532,0.10225587878376245,,
83968,12.0,11.872534070000002,82,195,430,0.2,0.0003,0.04905480891466141,810,-0.0048737659293692556,0.009741665,0.0814453125,-0.5762073064222932,0.9967440962791443,0.08001783026847989,,
84992,12.0,11.905811640000001,83,198,428,0.2,0.0003,0.02563156560063362,820,-0.0029933245765278115,0.0059618764,0.04921875,-0.5315436735749245,0.9960442185401917,0.09611933173146099,,
85000,,,,,,0.2,0.0003,0.04326251521706581,830,-0.0028696113062324003,0.004171903,0.04736328125,-0.49380721263587474,0.9963231086730957,0.08958993274718523,11.73063305,12.0
86016,12.0,11.762710219999999,84,200,429,,,,,,,,,,,,
87040,12.0,11.78411439,85,203,427,0.2,0.0003,0.036320872604846954,840,-0.0013693228567717597,0.0035006427,0.0412109375,-0.4697867361828685,0.9958692789077759,0.10289507692214102,,
88064,12.0,11.830471390000003,86,205,429,0.2,0.0003,0.03075404092669487,850,-0.002343500881397631,0.0033430809,0.0513671875,-0.48836339432746173,0.9965288043022156,0.08761059488169849,,
