maturation_qtr,margin_slope,capex_per_store,new_store_density,reached_breakeven,quarters_to_breakeven,aggressive_quarters_to_breakeven,final_margin
3.1738028008774144,0.00010272352602078239,2.450675529893984,348.3231408254944,1,3.0,99.0,0.042597907860186246
2.573290945602094,6.568657585762562e-05,2.0731062809829544,495.43913232301395,1,4.0,99.0,0.024041274664470844
1.031137131610128,7.118707839400957e-05,2.230721684739577,424.2512845171457,1,1.5,2.25,0.0440467739193989
1.4929493764439015,9.554228469717838e-05,1.9006235144045551,484.83911306959345,1,1.5,2.5,0.05
2.0905982956508775,9.940144274506626e-05,1.8298483142918087,439.48488671810594,1,2.0,6.0,0.05
1.3029577396390915,5.051986146294796e-05,2.2173569732827563,334.2017288627186,1,2.75,10.25,0.02394689470594787
2.9821986361605357,9.273029173907118e-05,1.4002064539945471,387.05184687127814,1,3.25,99.0,0.03883218229686043
1.3359334348855705,9.385887692279463e-05,1.20078588211293,396.0354291749688,1,1.5,2.0,0.05
2.4257962755914315,9.00033575081181e-05,1.0814163773709093,431.82800264108704,1,2.75,8.0,0.04414933966314913
3.912182341602599,3.2479177160124785e-05,0.8245332947274425,393.50944195491144,0,99.0,99.0,-0.003629111621206325
2.1697832373126857,5.314389925602685e-05,1.2132565476756654,455.8046953247491,1,4.5,99.0,0.018603210163570024
2.5130892701925758,0.00013234520287545943,1.4768046943902562,411.5604303429427,1,1.75,4.75,0.05
1.0479512645986513,4.8084099099916074e-05,0.8133336549889644,412.61635506946715,1,2.5,3.5,0.023610918894885976
2.8075741887057193,0.00013548992825208861,2.0713193343983285,380.9279202612683,1,2.0,99.0,0.05
2.8200780542212858,3.436206994252083e-05,2.1227943781458234,459.4429418459239,1,11.5,99.0,0.0005397146095559614
2.2752676626427326,0.00012834023555458482,0.718294333923028,319.619327816387,1,1.75,3.25,0.05
2.255137633355777,0.00010824745316300688,1.3840784163808424,471.5831090022998,1,2.0,4.25,0.05
1.8871723109923852,0.000134076646482731,2.34076928899528,459.6069276993504,1,1.5,2.5,0.05
3.3865869180168073,4.365191550445604e-05,2.4858142282236346,422.967978564662,1,9.75,99.0,0.0026901468358473957
1.2838936907738843,0.00011426885210829698,2.2960077129752285,487.3577892815222,1,1.25,1.5,0.05
1.3699046607360081,8.913462043240238e-05,1.9038407723093111,451.796233586568,1,1.5,2.5,0.05
3.3443346691998097,3.745282804302265e-05,2.281973930621696,304.22581082608065,0,99.0,99.0,-0.00019391307231639635
1.2549293490926046,8.519354117393831e-05,1.9485170649792027,427.70505954180226,1,1.5,2.25,0.05
3.321627671063846,0.00013937968685843644,2.0465751475607235,451.54518222834326,1,2.25,99.0,0.05
